Theme,Total_Frequency,Example_Description,Universities_Covered
**Collaboration / Initiative**,1,Mentions collaborative efforts and innovative initiatives to advance AI use on campus.,1
**Communication & Trust Climate**,1,Emphasis on clear communication to build trust in inclusive teaching practices.,1
**Community Engagement & Story Sharing**,1,Invites faculty/students to submit stories or events related to genAI for publication on the site.,1
**Compliance with External Grants / Policies**,1,"Mention that certain grantors (e.g., NIH) prohibit AI usage in grant applications or proposals.",1
**Continuous Policy Review**,1,Encourages regular updates to course policies as AI technology evolves.,1
**Copyright & Data Use Concerns**,1,"Highlighting that uploaded content could be used to train AI without consent, raising copyright issues.",1
**Core Values & Spiritual Outlook**,1,"Links university core values (integrity, honesty, etc.) to AI interaction within a Christ‑centered community.",1
"**Core Values (Honesty, Trust, Fairness, Respect, Responsibility, Courage)**",1,The six fundamental values that underpin the commitment to academic integrity.,1
**Critical Thinking**,1,Encourages using AI as a support tool rather than a substitute for independent research and analysis.,1
**Cross‑Disciplinary Working Groups**,1,"Formation of expert groups on IP, data privacy, and security to guide AI use.",1
**Cross‑Listed Course Structure**,1,Description of 700/800 level courses being taught simultaneously to undergrad and grad students with different expectations.,1
**Curriculum Resilience**,1,"It mentions strategies to make courses and activities resilient to AI use, implying curriculum adaptation.",1
**Cybersecurity / Credential Protection**,1,"Advice to never share Yale NetID/passwords with AI tools and to stay alert for phishing, with links to cybersecurity resources.",1
**Data Integrity & Security**,1,"Stipulates that users must not damage, disrupt, or expose IT resources or data to harm.",1
**Data Leakage / Incorporation**,1,Information from a proposal could be absorbed into the model’s knowledge base and later reused in other outputs.,1
**Data Management & Sharing**,1,"Tools focused on data discovery, best‑practice guidance, and compliance with sharing policies (e.g., DataSeer).",1
**Data classification integration**,1,Mentions an ongoing review of WPI’s Data Classification and Usage Policy with a goal of embedding generative‑AI language into the updated version.,1
**Data privacy & security**,1,Issues around data breaches and protection when using AI services.,1
**Detection & Surveillance Critique**,1,"Statement that detection tools are unreliable, biased, and not recommended for faculty to use.",1
**Detection Tool Reliability**,1,"Notes that AI detection tools are imperfect, may produce false positives, and should be used cautiously.",1
**Disability & Accessibility Considerations**,1,Highlights differential impacts of AI on students with disabilities and suggests strategies.,1
**Disclosure Requirement**,1,Approved AI usage must be disclosed in the final document.,1
**Editing & Coherence**,1,"AI output must be refined into a well‑structured, audience‑appropriate piece.",1
**Email & Messaging Abuse**,1,"Addresses mass mailings, phishing, spam, and unauthorized email dissemination.",1
**Encouraging Use**,1,"Highlights the pedagogical value of AI tools for developing legal skills, provided they align with learning outcomes.",1
**Environmental Impact**,1,Mention of the energy consumption of some GenAI systems as a factor in ethical consideration.,1
**Equity & access**,1,Concerns about unequal availability or advantages of AI tools for different students.,1
**Ethical Usage Guidance**,1,Mentions specific guidance on the ethical use of generative AI in academic contexts.,1
**Ethics & Impact**,1,Acknowledges that ethical considerations are still evolving and encourages instructors to be mindful of them when designing policies.,1
**Evaluation Fairness**,1,"Proposals will be judged equally regardless of whether they use AI, ensuring a level playing field.",1
**Evaluation Rubric**,1,A rubric is provided to help users assess the quality of AI research tools.,1
**FERPA Compliance**,1,Mentions that the AI&I office must comply with FERPA when handling cases.,1
**Factual Accuracy**,1,"The model may generate false or fabricated information, potentially contaminating proposals if not vetted.",1
**Fact‑Checking**,1,"Verify sources, statistics, calculations, and claims to ensure up‑to‑date accuracy.",1
**Faculty Empowerment**,1,Emphasizes equipping teachers with the knowledge and skills needed to use AI effectively.,1
**Faculty Resources & Collaboration**,1,Reference to Montclair faculty statements and external collections for drafting syllabus language.,1
**Faculty Resources & Guidance**,1,Reference to the University Library’s resource guide for faculty understanding of AI systems.,1
**Faculty Use**,1,Faculty interest in exploring and applying generative‑AI tools for teaching and learning.,1
**Failure to Report**,1,Not bringing suspected violations to faculty attention.,1
**Fairness & Trustworthiness**,1,Values that support a just academic environment and are part of the integrity commitment.,1
**Fairness / Non‑Discrimination**,1,AI content must not discriminate against any individual or group.,1
**Familiarity with AI Systems**,1,Encouraging faculty to experiment with AI tools to understand their behavior.,1
**Future‑Ready Competencies**,1,Links AI policy to preparing graduates as global citizens capable of solving wicked problems.,1
**General Adoption & Responsible Use**,1,"Overall call to experiment with generative AI while upholding safety, security, and responsible innovation.",1
**General Tone / Encouragement**,1,Offers well‑wishes and references upcoming commencement ceremonies.,1
**Governance / Compliance**,1,Reference to university data‑governance services and acceptable‑use policy for computing resources.,1
**Guidance & consultation**,1,"Directs individuals to seek advice from managers, department heads, or IT Services before using AI tools, providing a clear escalation path for questions or concerns.",1
**Hallucination**,1,Highlights that AI can produce fabricated answers with no source material.,1
**Hallucinations**,1,False or fabricated information produced by generative models.,1
**Handling False Accusations**,1,Advice for students who may be wrongly accused of cheating with AI.,1
**Harassment & Hostile Environment**,1,"Prohibits harassment, threats, defamation, stalking, and illegal discrimination on campus.",1
**Higher‑Education Innovation**,1,Calls for fostering innovation in higher education via AI knowledge and skills.,1
**Honor Code Violation**,1,Stating that submitting AI‑generated work as one’s own violates Baylor’s Honor Code.,1
**Honor Pledge / Academic Integrity**,1,"Using AI without attribution violates the university’s honor pledge, framing it as an integrity issue.",1
**ITHAKA S+R Tracker**,1,Reference to an external tracker of generative AI products aimed at higher‑ed faculty and students.,1
**Infrastructure Upgrades**,1,"Investments to support university operations, research, and education via cross‑disciplinary upgrades.",1
**Institutional Agreements / Vendor Protections**,1,Notes that tool availability depends on institutional agreements and additional protections.,1
**Institutional Response**,1,University administration’s ongoing exploration of detection solutions and policy guidance.,1
**Institutional Values (iCARE)**,1,The university’s core values are invoked as a guiding principle for embracing AI responsibly in education.,1
**Instructor Expectations**,1,Highlights the student’s duty to understand and follow instructor‑specified assignment requirements.,1
**Intellectual Property & Data Security**,1,"It calls for safeguarding confidential data and IP, following established privacy and security policies.",1
**Intellectual property (IP)**,1,Protection of content generated by AI and its implications for academic work.,1
**Intent vs Accident**,1,"Distinguishing between deliberate dishonesty and accidental infractions (e.g., drafts).",1
**Language Support**,1,Points out how AI can aid non‑native English speakers by simplifying dense text.,1
**Legal/Academic Law**,1,Discussion of AI within law schools and the broader legal profession (symposium at Columbus School).,1
**Mandatory Disclosure**,1,"Stipulates that any use of AI must be transparently disclosed, even when permitted.",1
**Misinformation / Hallucination**,1,Describes how LLMs can produce factually incorrect or nonsensical answers and urges users to verify information.,1
**Misrepresentation / False Claims**,1,"Refers to misleading an instructor about the conditions under which work was prepared, including AI usage or substitution by another person.",1
**Mixed Assignments**,1,"Combining in‑class, outside‑class, and verbal components to compare writing styles.",1
**Monitoring & Updates**,1,"The BCA will monitor AI developments, update guidance, and invite community input.",1
**National Security**,1,Focus on how AI influences national security policy and strategy (summit with policymakers).,1
**No Usage Limitation**,1,Ohio University explicitly states there are no restrictions on using generative AI for internal award proposals.,1
**No formal AI policy**,1,The university currently has no official policies covering ChatGPT or other AI technologies.,1
**Originality & Creativity**,1,Emphasis on maintaining student originality and creative learning rather than outsourcing work.,1
**Other/IT Security Governance**,1,"Reference to the Information Security Office for non‑academic, privacy or new product inquiries.",1
**Paid‑Only Tools**,1,Mentions that some paid‑only or trial‑only tools exist but are not listed.,1
**Permissible vs Non‑permissible Uses**,1,"Distinguishes acceptable uses (e.g., rephrasing) from disallowed ones (e.g., full drafts).",1
**Personalized Support**,1,Offers individualized assistance and guidance from the team to help faculty implement AI.,1
**Phishing & Scamming Awareness**,1,A brief warning about AI‑generated phishing emails and a reporting channel for suspicious messages.,1
**Phishing / Cyber‑Risk Awareness**,1,Warning that generative AI can be used for phishing and the need to report suspicious messages.,1
**Phishing / Cyber‑security Awareness**,1,The document warns about AI‑driven phishing attempts and encourages vigilance against such threats.,1
**Plagiarism Risk**,1,Generative AI can inadvertently produce plagiarized text because its training data is opaque and difficult to trace.,1
**Policy Determination Process**,1,Describes how the appropriate policy (academic integrity vs. research misconduct) is chosen for a case.,1
**Policy Sustainability / One‑Size‑Fits‑All Critique**,1,Notes that standardized policies are unsustainable in the long term due to varying instructor stances.,1
**Policy scope & applicability**,1,"States that the policy applies to all students, faculty, and staff at WPI, establishing its universal reach within the institution.",1
**Post‑Evaluation Disclosure**,1,Submitters must disclose how they used AI after evaluation; this data is collected only for research purposes and does not affect outcomes.,1
**Prior Consultation**,1,Requires students to discuss AI usage with faculty before submitting assignments that involve generative AI.,1
**Privacy & Copyright**,1,Mention of evolving expectations around privacy and copyright in AI use.,1
**Privacy & Data Concerns**,1,Mentions data sharing with AI services and potential mishandling.,1
**Privacy Office Exceptions**,1,"Specific note that some departments may need privacy‑office exceptions to use certain features (e.g., smart recording).",1
**Procurement & Institutional Support**,1,"Encouragement to use the university’s purchasing portal and support services when acquiring AI products, ensuring they meet security requirements.",1
**Professional Development**,1,The university offers workshops to help faculty learn about generative AI.,1
**Professional Oversight & Code Review**,1,Emphasizes the need for human experts to review and correct AI‑generated code or content.,1
**Prohibited Use**,1,"Specifies situations (e.g., final exams) where generative AI tools are not allowed.",1
**Question‑and‑Answer Format**,1,Notes that the guideline is structured as Q&A for faculty.,1
**Real‑World Preparedness**,1,Prepares students for future professional contexts where human intellect is essential.,1
**Reference to existing policies/honor code**,1,Points readers toward the university’s general policies and academic honor codes for guidance.,1
**Remote Collaboration & Desktop Access**,1,"Platforms enabling remote work or interactive sessions (e.g., Parsec).",1
**Research & Innovation**,1,"Examination of AI in research, scholarship, creative activities, and innovation.",1
**Research Advancement**,1,Mentions boosting research outcomes by leveraging AI.,1
**Research Use Governance**,1,Direction for research‑related AI questions to the IT Research Computing & Data Services team.,1
**Resource & Guidance Link**,1,The policy directs students to an external BYU GenAI resource for further information.,1
**Resources & Training**,1,"Mention of videos, tutorials, and practical exploration of tools before implementation.",1
**Respect for Others’ Work**,1,Implied through the requirement to credit sources and avoid deceptive acts.,1
**Responsibility Shift**,1,"Survey data shows increased AI responsibilities among executives, staff, and faculty.",1
**Risk vs Opportunity Debate**,1,"The policy frames AI as both a potential danger and an opportunity for learning, reflecting ongoing academic discussions.",1
**Scaffolding / Drafts**,1,Suggesting multiple drafts and revision cycles as a teaching strategy.,1
**Security / Accessibility / Cost**,1,Highlights the need to consider these factors when deploying AI tools.,1
**Service Recognition**,1,Task‑force participation counts as university service and is formally recognized.,1
**Skill Development**,1,"Highlights development of critical thinking, communication, and problem‑solving skills.",1
**Starting Point Not Finished Product**,1,AI should serve as an initial draft; human creativity and critical thinking remain essential.,1
**Student AI Policy**,1,"Rules governing student use of generative AI in coursework, including prohibition without instructor permission and academic‑misconduct implications.",1
**Student Assessment Alternatives**,1,Suggests offering alternative assessment methods for students who object to AI tools due to privacy or other concerns.,1
**Student Impact**,1,The text notes the debate over what students may lose or gain from using AI in their coursework.,1
**Student Learning Enhancement**,1,Highlights improving students’ learning abilities through AI tools.,1
**Student Level & Credit**,1,Clarification that only enrollment at the 800 level grants graduate credit for these courses.,1
**Support & Guidance (CETL)**,1,Encourages faculty to seek additional guidance from the Center for Excellence in Teaching & Learning.,1
**Syllabus Preparation Tips**,1,Offers guidance on how to incorporate AI policy language into course syllabi.,1
**Syllabus Statement Requirement**,1,Encourages faculty to include an academic‑integrity statement in course syllabi and outlines its content.,1
**Teaching & Learning Impact**,1,"Mentions how generative AI will affect course instruction, learning activities, and instructor/student engagement.",1
**Teaching Implications**,1,"Discusses how generative‑AI tools can streamline grading, provide 24/7 tutoring, and personalize learning experiences.",1
**Technology Integration (Tools)**,1,"Reference to platforms (Zoom, Canvas, Microsoft) adding AI features and the impact on higher‑education workflows.",1
**Terminology & Glossary**,1,Inclusion of a glossary and reference to NIST terminology for understanding AI concepts.,1
**Tool Review & Security Assessment**,1,Mandatory security and risk review of any procured generative AI solutions by the Information Security Office.,1
**Transparency & Due Diligence Encouragement**,1,Applicants are urged to be open about AI use and conduct thorough checks before submission.,1
**University Mission/Culture**,1,Reference to the university’s mission to foster integrity and a culture of honesty.,1
**University Rules & Regulations**,1,Mentions the governing document (200.10) that students must follow regarding academic integrity and AI use.,1
**Workforce Development**,1,"Developing programs to prepare faculty, staff, and students for future work involving AI.",1
**Workshops & Updates**,1,"Upcoming workshops, panels, and communications on ChatGPT for faculty.",1
AI Exploration,1,The university is actively researching and developing cutting‑edge AI technologies and applications.,1
AI Trends,1,Highlights current trends in AI and their application to global challenges.,1
Absence of Policy,1,The text explicitly states that there is no policy in place.,1
Academic Integrity / Plagiarism,1,Warns against claims of academic dishonesty arising from undisclosed AI use.,1
Accountability,1,Users are accountable for their actions while utilizing AI.,1
Accuracy & Verification,1,Warns that AI outputs may be false and stresses independent fact‑checking.,1
Algorithmic Discrimination,1,The policy emphasizes the importance of preventing discrimination by AI systems.,1
Alignment with Institutional Values,1,"Calls for reviewing AI outputs to ensure they reflect Vanderbilt’s values, especially where empathy matters.",1
Appropriateness & Benefits,1,AI must serve a distinct purpose aligned with the university’s mission and enable innovation toward excellence.,1
Bias,1,Mentions that AI should not perpetuate bias in decision‑making.,1
Conferences & Outreach,1,The Center annually hosts an AI conference to share findings and foster community engagement.,1
Confidentiality / Data Protection,1,A brief note urges caution when using generative AI with personal or sensitive information to protect confidential data.,1
Cooperation / Investigation,1,Requirement for students to assist investigations into alleged misconduct.,1
Ethical Concerns,1,Calls for addressing serious ethical issues that arise with AI deployment.,1
Examination Cheating,1,Cheating specifically in the context of exams (using unauthorized material).,1
Faculty Resources,1,Points faculty toward the CTLD's AI webpage for further information and procedures.,1
Faculty syllabus requirement,1,"Recommends that faculty include a clear, specific statement about AI usage in syllabi and Canvas.",1
Fairness & Non‑Discrimination,1,Approved systems must promote equity by avoiding algorithmic discrimination that yields unequal outcomes.,1
Generative‑AI products,1,"Mentions specific tools (ChatGPT, DALL‑E, Google Bard) and describes them as chatbots that generate responses from large text databases.",1
Honor Code Violation,1,Using AI/ML tools is defined as “unauthorized assistance” and constitutes a breach of Hofstra’s Honor Code.,1
Human Values,1,"Deployment should center humans, requiring users to critically evaluate tools, exercise judgment, and retain control.",1
Institutional Context,1,"Notes that UCF’s Student Rules of Conduct do not explicitly mention AI, but the policy still applies to AI use.",1
Institutional Context / Location,1,"The Center’s placement within the School of Engineering’s Graduate Programs at the University of St. Thomas in St. Paul, Minnesota is noted.",1
Intellectual Property,1,Notes protection of unpublished research data and other IP when using GenAI tools.,1
Intellectual Property / Ownership,1,Notes uncertainty around ownership of AI‑generated content and advises caution for university‑owned products.,1
Interdisciplinary Reach,1,AI initiatives span all four schools and nearly every academic department and program.,1
Judicial Procedures,1,Channels for filing complaints and resolving disputes within the university.,1
Lack of Guidance,1,The text explicitly states that there is no clear guidance or policy in place.,1
Liability,1,Individual users assume liability when agreeing to terms with non‑record systems.,1
Multilingual Notice,1,Includes a brief Chinese phrase (“暂无”) suggesting a multilingual or international context.,1
Plagiarism / Citation,1,Failure to properly attribute ideas or words from others.,1
Policy Compliance,1,The requirement for students to understand and adhere to the university’s rules.,1
Policy absence,1,Notes that the university currently has no single policy on generative AI.,1
Privacy & Security,1,Users must not share restricted or private data with unauthorized systems and must safeguard confidentiality and integrity of UAB data.,1
Protected Characteristics,1,"Refers to race, ethnicity, gender as examples of protected traits that must not be discriminated against.",1
Reasonable‑Doubt Analogy,1,Uses the legal concept of reasonable doubt to frame how students should evaluate AI claims.,1
"Research Focus Areas (AI, ML, Big Data, etc.)",1,"Projects cover a range of technical topics such as artificial intelligence, machine learning, big‑data management, visualization, and cloud infrastructure.",1
Risk & Safety,1,AI must undergo risk assessment and mitigation before deployment to protect the community and intellectual property.,1
Societal Impact,1,"The policy highlights how AI can make lives safer, healthier, more sustainable, and more enjoyable.",1
Student Guidance,1,Directs students to follow their instructor’s syllabus for AI-related coursework.,1
Student Support & Resources,1,"The text offers support for navigating AI’s impact on education and career, directing students to contact the Office of Academic Standards.",1
Supervisory Oversight,1,Recommends discussing AI use with supervisors to ensure appropriateness of the work.,1
Training & Development,1,"Provides university‑led training modules (e.g., prompt engineering) for skill building.",1
Unauthorized Materials,1,Use of non‑approved resources during exams or assignments.,1
Video Reference,1,Mentions a video that conveys the university’s stance or attitude.,1
White House Blueprint,1,Cites the federal “AI Bill of Rights” and its relevance to the university’s AI work.,1
Word Search Activity,1,Includes a light‑hearted A.I. themed word search contest.,1
NA,0,NA,10
